,book_id,title,num_of_pages,Language,Authors,Publisher,CountsOfReview,Rating,image_url,Publish Date
495,18749,Half of a Yellow Sun,433,eng,Chimamanda Ngozi Adichie,Knopf,5617,4.32,https://images.gr-assets.com/books/1327934717m/18749.jpg,2006-09-12
649,28881,Lamb: The Gospel According to Biff Christ's Childhood Pal,444,eng,Christopher Moore,William Morrow / HarperCollins / Harper Perennial,10440,4.25,https://images.gr-assets.com/books/1331419009m/28881.jpg,2004-05-25
63,2049,The High Window (Philip Marlowe #3),265,eng,Raymond Chandler,Vintage Crime/Black Lizard,575,4.07,https://images.gr-assets.com/books/1466754245m/2049.jpg,1992-08-12
826,42900,Lover Awakened (Black Dagger Brotherhood #3),448,eng,J.R. Ward,Signet,5777,4.45,https://images.gr-assets.com/books/1388773547m/42900.jpg,2006-09-05
212,6588,The Big Bad Wolf (Alex Cross #9),400,eng,James Patterson,Grand Central Publishing,955,3.99,https://images.gr-assets.com/books/1388328154m/6588.jpg,2004-10-01
817,42432,God Emperor of Dune (Dune Chronicles #4),454,eng,Frank Herbert,Victor Gollancz,902,3.85,https://images.gr-assets.com/books/1327131560m/42432.jpg,2003-03-13
65,2054,The Long Goodbye (Philip Marlowe #6),379,eng,Raymond Chandler,Vintage Crime/Black Lizard,1646,4.22,https://images.gr-assets.com/books/1388225584m/2054.jpg,1988-08-12
752,35539,The Beatles: The Biography,983,eng,Bob Spitz,Little Brown,421,4.15,https://images.gr-assets.com/books/1327951066m/35539.jpg,2005-10-10
801,41424,Beauty: A Retelling of the Story of Beauty and the Beast,256,eng,Robin McKinley,HarperCollins,3771,4.05,https://images.gr-assets.com/books/1294192311m/41424.jpg,1993-06-30
78,2612,The Tipping Point: How Little Things Can Make a Big Difference,301,eng,Malcolm Gladwell,Back Bay Books,12045,3.97,https://images.gr-assets.com/books/1473396980m/2612.jpg,2002-01-07
227,7389,Runaways Vol. 1: Pride and Joy,144,eng,Brian K. Vaughan,Marvel,863,3.97,https://images.gr-assets.com/books/1264516899m/7389.jpg,2006-12-06
211,6551,Herzog,371,eng,Saul Bellow,Penguin Classics,823,3.78,https://images.gr-assets.com/books/1386924221m/6551.jpg,2003-02-25
231,7603,Reading Lolita in Tehran: A Memoir in Books,356,eng,Azar Nafisi,Random House Trade Paperbacks,6602,3.61,https://images.gr-assets.com/books/1397751318m/7603.jpg,2003-12-30
286,9912,The Rules of Attraction,283,eng,Bret Easton Ellis,Vintage Contemporaries,988,3.69,https://images.gr-assets.com/books/1468426907m/9912.jpg,1998-06-30
554,22584,Flow My Tears the Policeman Said,204,eng,Philip K. Dick,Gollancz,1091,3.91,https://images.gr-assets.com/books/1398026028m/22584.jpg,2001-11-08
338,11553,Boy's Life,580,eng,Robert R. McCammon,Pocket Books,1747,4.35,https://images.gr-assets.com/books/1314302694m/11553.jpg,1992-05-01
709,32692,Gerald's Game,332,eng,Stephen King,Smithmark Publishers,2729,3.52,https://images.gr-assets.com/books/1297737756m/32692.jpg,1992-09-01
